# Simulation Log
# Model: Delay Equation Model
# Timestamp: 2025-10-23 20:12:06
# Parameters: 
#   {
#       "catchStockingRate": 0.5,
#       "catchability": 2.0,
#       "fishPrice": 7.0,
#       "fishingCost": 1.0,
#       "initialFishMarketStock": 0.1,
#       "initialFishStock": 0.4,
#       "initialHarvestingEffort": 0.4,
#       "reproductionRate": 1.0,
#       "simulationYears": 20,
#       "stepsPerYear": 100,
#       "stockReturnRate": 2.0
#   }
# 
Time_Year,Population_n,Effort_E,MarketStock_S
3.50000000,0.00086737,0.35535174,0.00120288
3.51000000,0.00086987,0.35198820,0.00118191
3.52000000,0.00087244,0.34865522,0.00116133
3.53000000,0.00087507,0.34535255,0.00114114
3.54000000,0.00087777,0.34207994,0.00112134
3.55000000,0.00088054,0.33883715,0.00110192
3.56000000,0.00088337,0.33562393,0.00108286
3.57000000,0.00088626,0.33244004,0.00106417
3.58000000,0.00088923,0.32928525,0.00104583
3.59000000,0.00089225,0.32615931,0.00102785
3.60000000,0.00089535,0.32306199,0.00101020
3.61000000,0.00089851,0.31999304,0.00099289
3.62000000,0.00090173,0.31695224,0.00097591
3.63000000,0.00090503,0.31393936,0.00095925
3.64000000,0.00090839,0.31095414,0.00094290
3.65000000,0.00091181,0.30799638,0.00092687
3.66000000,0.00091531,0.30506584,0.00091114
3.67000000,0.00091887,0.30216229,0.00089571
3.68000000,0.00092249,0.29928550,0.00088057
3.69000000,0.00092619,0.29643525,0.00086572
3.70000000,0.00092995,0.29361132,0.00085115
3.71000000,0.00093378,0.29081348,0.00083686
3.72000000,0.00093768,0.28804151,0.00082284
3.73000000,0.00094165,0.28529520,0.00080908
3.74000000,0.00094568,0.28257432,0.00079559
3.75000000,0.00094978,0.27987867,0.00078235
3.76000000,0.00095396,0.27720802,0.00076936
3.77000000,0.00095820,0.27456216,0.00075662
3.78000000,0.00096251,0.27194088,0.00074411
3.79000000,0.00096689,0.26934397,0.00073185
3.80000000,0.00097134,0.26677122,0.00071982
3.81000000,0.00097586,0.26422242,0.00070801
3.82000000,0.00098045,0.26169737,0.00069643
3.83000000,0.00098512,0.25919585,0.00068507
3.84000000,0.00098985,0.25671768,0.00067392
3.85000000,0.00099466,0.25426264,0.00066298
3.86000000,0.00099954,0.25183053,0.00065225
3.87000000,0.00100449,0.24942116,0.00064172
3.88000000,0.00100951,0.24703433,0.00063139
3.89000000,0.00101461,0.24466984,0.00062126
3.90000000,0.00101978,0.24232749,0.00061132
3.91000000,0.00102503,0.24000710,0.00060156
3.92000000,0.00103034,0.23770847,0.00059199
3.93000000,0.00103574,0.23543141,0.00058260
3.94000000,0.00104121,0.23317573,0.00057339
3.95000000,0.00104675,0.23094124,0.00056435
3.96000000,0.00105238,0.22872776,0.00055548
3.97000000,0.00105807,0.22653510,0.00054678
3.98000000,0.00106385,0.22436307,0.00053824
3.99000000,0.00106970,0.22221150,0.00052986
4.00000000,0.00107564,0.22008021,0.00052164
4.01000000,0.00108165,0.21796900,0.00051357
4.02000000,0.00108774,0.21587772,0.00050566
4.03000000,0.00109390,0.21380617,0.00049789
4.04000000,0.00110015,0.21175419,0.00049028
4.05000000,0.00110648,0.20972159,0.00048280
4.06000000,0.00111290,0.20770821,0.00047546
4.07000000,0.00111939,0.20571387,0.00046827
4.08000000,0.00112596,0.20373841,0.00046120
4.09000000,0.00113262,0.20178165,0.00045427
4.10000000,0.00113937,0.19984343,0.00044747
4.11000000,0.00114619,0.19792358,0.00044080
4.12000000,0.00115310,0.19602194,0.00043425
4.13000000,0.00116010,0.19413834,0.00042783
4.14000000,0.00116719,0.19227262,0.00042152
4.15000000,0.00117435,0.19042461,0.00041534
4.16000000,0.00118161,0.18859417,0.00040927
4.17000000,0.00118896,0.18678112,0.00040331
4.18000000,0.00119639,0.18498532,0.00039747
4.19000000,0.00120391,0.18320660,0.00039173
4.20000000,0.00121153,0.18144482,0.00038610
4.21000000,0.00121923,0.17969981,0.00038058
4.22000000,0.00122703,0.17797143,0.00037516
4.23000000,0.00123492,0.17625953,0.00036984
4.24000000,0.00124290,0.17456395,0.00036462
4.25000000,0.00125097,0.17288454,0.00035949
4.26000000,0.00125914,0.17122116,0.00035447
4.27000000,0.00126740,0.16957367,0.00034953
4.28000000,0.00127576,0.16794191,0.00034469
4.29000000,0.00128422,0.16632575,0.00033994
4.30000000,0.00129277,0.16472503,0.00033528
4.31000000,0.00130142,0.16313963,0.00033070
4.32000000,0.00131018,0.16156939,0.00032621
4.33000000,0.00131903,0.16001418,0.00032180
4.34000000,0.00132798,0.15847387,0.00031748
4.35000000,0.00133703,0.15694831,0.00031323
4.36000000,0.00134619,0.15543737,0.00030907
4.37000000,0.00135544,0.15394091,0.00030498
4.38000000,0.00136481,0.15245880,0.00030096
4.39000000,0.00137428,0.15099092,0.00029703
4.40000000,0.00138385,0.14953712,0.00029316
4.41000000,0.00139353,0.14809727,0.00028937
4.42000000,0.00140332,0.14667126,0.00028564
4.43000000,0.00141322,0.14525894,0.00028199
4.44000000,0.00142322,0.14386020,0.00027840
4.45000000,0.00143334,0.14247491,0.00027488
4.46000000,0.00144357,0.14110294,0.00027143
4.47000000,0.00145391,0.13974417,0.00026803
4.48000000,0.00146436,0.13839847,0.00026471
4.49000000,0.00147493,0.13706573,0.00026144
4.50000000,0.00148562,0.13574583,0.00025823
4.51000000,0.00149642,0.13443864,0.00025508
4.52000000,0.00150734,0.13314405,0.00025199
4.53000000,0.00151837,0.13186193,0.00024896
4.54000000,0.00152953,0.13059218,0.00024598
4.55000000,0.00154081,0.12933468,0.00024306
4.56000000,0.00155220,0.12808931,0.00024019
4.57000000,0.00156373,0.12685596,0.00023738
4.58000000,0.00157537,0.12563452,0.00023461
4.59000000,0.00158714,0.12442488,0.00023190
4.60000000,0.00159904,0.12322692,0.00022924
4.61000000,0.00161106,0.12204054,0.00022662
4.62000000,0.00162321,0.12086562,0.00022406
4.63000000,0.00163550,0.11970206,0.00022154
4.64000000,0.00164791,0.11854976,0.00021906
4.65000000,0.00166045,0.11740861,0.00021664
4.66000000,0.00167313,0.11627850,0.00021425
4.67000000,0.00168594,0.11515933,0.00021191
4.68000000,0.00169889,0.11405099,0.00020962
4.69000000,0.00171198,0.11295339,0.00020736
4.70000000,0.00172520,0.11186643,0.00020515
4.71000000,0.00173856,0.11078999,0.00020298
4.72000000,0.00175207,0.10972399,0.00020084
4.73000000,0.00176571,0.10866833,0.00019875
4.74000000,0.00177950,0.10762290,0.00019669
4.75000000,0.00179343,0.10658761,0.00019467
